Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
2	https://operacaocovid19.defesa.gov.br/noticias/noticia/741	21/03/2020	Comando militar do sul inicia ações de apoio logístico contra o contágio e disseminação da Covid-19	Desde o dia 19 de março, o Comando Militar do Sul (CMS) mobilizou e ativou o seu Centro de Coordenação de Operações (CCOp/CMS), com o objetivo de proporcionar, inicialmente, apoio logístico aos governos dos estados do Paraná, Santa Catarina e Rio Grande do Sul, tudo para que a disseminação do novo coronavírus (COVID-19) possa ser contida e cause o mínimo de danos à saúde da população.	Apoio Logístico		Sul	RS	Porto Alegre
3	https://operacaocovid19.defesa.gov.br/noticias/noticia/742	21/03/2020	Centro de Operações Conjuntas do MD é ativado para ações de combate à COVID-19	O Ministério da Defesa ativou, na última sexta-feira (20), o Centro de Operações Conjuntas para atuar na coordenação e planejamento do emprego das Forças Armadas no combate à Covid-19. Foram ativados também dez Comandos Conjuntos, que cobrem todo o território nacional, além do Comando Aeroespacial (COMAE), de funcionamento permanente.	Apoio Logístico		Centro-Oeste	DF	Brasília
4	https://operacaocovid19.defesa.gov.br/noticias/noticia/743	21/03/2020	Defesa intensifica atuação de logística militar no combate à COVID-19	Por meio da Operação COVID-19, os militares das Forças Amadas iniciaram ações de apoio a órgãos públicos e à sociedade com foco no combate ao novo Coronavírus. Desde sexta-feira (20), Marinha, Exército e Aeronáutica atuam coordenados em função da ativação de um Centro de Operações Conjuntas (COC), situado no Ministério da Defesa (MD), em Brasília (DF), e dez Comandos Conjuntos, distribuídos por todo o território nacional.	Apoio Logístico		Centro-Oeste	DF	Brasília
6	https://operacaocovid19.defesa.gov.br/noticias/noticia/745	22/03/2020	Defesa intensifica atuação de logística militar no combate à COVID-19	Por meio da Operação COVID-19, os militares das Forças Amadas iniciaram ações de apoio a órgãos públicos e à sociedade com foco no combate ao novo Coronavírus. Desde sexta-feira (20), Marinha, Exército e Aeronáutica atuam coordenados em função da ativação de um Centro de Operações Conjuntas (COC), situado no Ministério da Defesa (MD), em Brasília (DF), e dez Comandos Conjuntos, distribuídos por todo o território nacional.	Apoio Logístico		Centro-Oeste	DF	Brasília
7	https://operacaocovid19.defesa.gov.br/noticias/noticia/746	22/03/2020	Militares do Exército apoiam hospitais do Sul do país no combate ao Coronavírus  	 Militares do Exército se mobilizaram, de sexta a domingo, no enfrentamento ao Coronavírus. Eles atuaram, em especial, nas cidades de Florianópolis e Criciúma, em Santa Catarina, e em Bagé e Alegrete, no Rio Grande do Sul, dentro da Operação COVID-19.	Apoio de Saúde		Sul	SC	Florianópolis
8	https://operacaocovid19.defesa.gov.br/noticias/noticia/747	23/03/2020	Forças Armadas deflagram ações em todo o Brasil para combater o Coronavírus	As Forças Armadas deflagraram ações de combate ao Coronavírus, nesta segunda-feira (23), em todos os estados do Brasil. As atividades fazem parte da Operação Covid-19, que conta com a ativação de 10 Comandos Conjuntos, do Norte ao Sul do país, sob a coordenação do Ministério da Defesa.	Apoio Logístico		Centro-Oeste	DF	Brasília
9	https://operacaocovid19.defesa.gov.br/noticias/noticia/748	23/03/2020	Alistamento Militar segue apenas online	Devido à pandemia da COVID-19, o alistamento militar poderá ser realizado apenas na modalidade online. Seguindo a recomendação para que se evite aglomerações, a junta militar mais próxima à residência não receberá mais os candidatos. Assim, segue a determinação para que todo os jovens, que completam 18 anos em 2020, alistem-se até 30 de junho, pelo site www.alistamento.eb.mil.br, gratuitamente.	Comunicação		Centro-Oeste	DF	Brasília
10	https://operacaocovid19.defesa.gov.br/noticias/noticia/749	24/03/2020	Força Aérea Brasileira atua na Operação Covid-19 no resgate de brasileiros que estão no Peru	Militares das Forças Armadas continuam atuando nas ações e disponibilizando recursos operacionais e logísticos em combate ao Coronavírus em todas as unidades da Federação. Para coordenar a Operação Covid-19, foi ativado o Centro de Operações Conjuntas (COC), no Ministério da Defesa, em Brasília (DF), além de dez Comandos Conjuntos, distribuídos pelo território nacional, e do Comando de Operações Aeroespaciais (COMAE), permanentemente ativado.	Apoio Logístico		Centro-Oeste	DF	Brasília
11	https://operacaocovid19.defesa.gov.br/noticias/noticia/750	25/03/2020	Forças Armadas intensificam atividades para combater o Coronavírus em todo o Brasil	Militares das Forças Armadas intensificam as ações de combate ao Coronavírus desde a ativação da Operação Covid-19, que conta com 10 Comandos Conjuntos ativados, do Norte ao Sul do país, além do Comando Aeroespacial (COMAE), de funcionamento permanente, sob a coordenação do Ministério da Defesa.	Apoio Logístico		Centro-Oeste	DF	Brasília
12	https://operacaocovid19.defesa.gov.br/noticias/noticia/751	26/03/2020	Operação Acolhida se prepara para a crise do coronavírus	Com a chegada da crise gerada pelo Coronavírus na cidade de Boa Vista, no estado de Roraima, diversos protocolos estão sendo implementados para garantir a segurança da população abrigada e dos demais habitantes das áreas urbanas. Frequentes orientações acerca das medidas e cuidados para evitar a disseminação do vírus são amplamente realizadas. Caso qualquer abrigado apresente sintomas compatíveis com o quadro da doença, uma inspeção médica é conduzida no próprio local de abrigamento.	Comunicação		Centro-Oeste	DF	Brasília
